concern,skin_type,ingredients,benefits,directions,brands,notes
large pores,oily,"azelaic acid, vitamin C",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Paula's Choice, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,sensitive,"niacinamide, tea tree oil",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, The Ordinary, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,sensitive,"aloe vera, centella asiatica",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Augustinus Bader, Youth to the People, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,normal,"hyaluronic acid, squalane",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Neutrogena, Olay, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,combination,"hyaluronic acid, panthenol",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, Vichy, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,oily,"centella asiatica, green tea",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peter Thomas Roth, Good Molecules, LANEIGE",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,dry,"bakuchiol, coenzyme Q10",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Allies of Skin, Estee Lauder",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"salicylic acid, benzoyl peroxide",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Estee Lauder, Olay",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,sensitive,"peptides, retinol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Clarins, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
ingrown hairs,sensitive,"peptides, retinol",Helps improve ingrown hairs; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Glow Recipe, 111Skin",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,combination,"ceramides, squalane",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Clarins, Versed",Avoid mixing strong actives; discontinue if irritation occurs
back acne,normal,"azelaic acid, salicylic acid",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Sunday Riley, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,combination,"peptides, coenzyme Q10",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Aveeno, Farmacy",Avoid mixing strong actives; discontinue if irritation occurs
dehydrated skin,sensitive,"glycerin, squalane",Helps improve dehydrated skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Biossance, La Roche Posay",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,oily,"AHA, arbutin",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Glow Recipe, Paula's Choice, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,dry,"bakuchiol, peptides",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, Shiseido, Cosrx",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,sensitive,"arbutin, azelaic acid",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cetaphil, La Mer, Peter Thomas Roth",Avoid mixing strong actives; discontinue if irritation occurs
peeling skin,normal,"squalane, ceramides",Helps improve peeling skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, Augustinus Bader, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,sensitive,"lanolin, cholesterol",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Versed, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
uneven texture,dry,"kojic acid, vitamin C",Helps improve uneven texture; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Bioderma, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
congested skin,oily,"salicylic acid, niacinamide",Helps improve congested skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Inkey List, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,normal,"aloe vera, calendula",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Krave Beauty, Tatcha",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,oily,"azelaic acid, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Biossance, Versed",Avoid mixing strong actives; discontinue if irritation occurs
redness,sensitive,"centella asiatica, green tea",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Dermalogica, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
discoloration,combination,"tranexamic acid, licorice root",Helps improve discoloration; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Guerlain, Sisley Paris, Versed",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,sensitive,"panthenol, ceramides",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Drunk Elephant, Murad",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,dry,"salicylic acid, azelaic acid",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, Neutrogena, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,dry,"azelaic acid, tea tree oil",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clarins, Clinique, Simple",Avoid mixing strong actives; discontinue if irritation occurs
wrinkles,sensitive,"bakuchiol, collagen",Helps improve wrinkles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Murad, CeraVe",Avoid mixing strong actives; discontinue if irritation occurs
makeup irritation,sensitive,"tea tree oil, niacinamide",Helps improve makeup irritation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Peter Thomas Roth, Glow Recipe",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,oily,"calendula, allantoin",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Neutrogena, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,combination,"azelaic acid, niacinamide",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Ren Clean Skincare, Avene",Avoid mixing strong actives; discontinue if irritation occurs
eczema,oily,"colloidal oatmeal, ceramides",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Murad, Versed, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,combination,"colloidal oatmeal, cholesterol",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"First Aid Beauty, Krave Beauty, Kiehl's",Avoid mixing strong actives; discontinue if irritation occurs
blackheads,sensitive,"tea tree oil, azelaic acid",Helps improve blackheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Peach & Lily, The Ordinary",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,normal,"allantoin, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Clinique, Murad, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
whiteheads,oily,"niacinamide, benzoyl peroxide",Helps improve whiteheads; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Babor, Bioderma",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,normal,"allantoin, calendula",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Clinique, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
age spots,sensitive,"peptides, retinol",Helps improve age spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Obagi, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
acne,combination,"niacinamide, tea tree oil",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, First Aid Beauty, Dermalogica",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,sensitive,"green tea, aloe vera",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Neutrogena, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,combination,"allantoin, centella asiatica",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, StriVectin, Allies of Skin",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,combination,"fatty acids, colloidal oatmeal",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Dermalogica, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,dry,"centella asiatica, allantoin",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Inkey List, Peter Thomas Roth, Drunk Elephant",Avoid mixing strong actives; discontinue if irritation occurs
